City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Gorontalo,ID,82.29,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
3,Mahebourg,MU,77.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Tandalti,SD,78.53,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
9,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
10,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
28,Faanui,PF,78.37,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Hoima,UG,81.23,broken clouds,1.4356,31.3436,Tik Hotel
34,San Patricio,US,82.26,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Cerritos,US,75.33,scattered clouds,33.8583,-118.0648,Sheraton Cerritos Hotel
42,Butaritari,KI,79.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
46,Saint-Philippe,RE,76.59,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Mendota,US,81.16,overcast clouds,36.7536,-120.3816,MAA
50,Yatou,CN,82.15,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
54,Havelock,US,80.92,few clouds,34.8791,-76.9013,Sherwood Motel
60,Roald,NO,83.16,clear sky,62.5833,6.1333,Flem Cabins
61,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
69,Leh,IN,83.07,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
70,Dingle,PH,83.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
71,Parian,PH,86.16,overcast clouds,15.0659,120.7181,stone place
73,Carmen,MX,80.33,overcast clouds,18.6333,-91.8333,Hotel Lossandes
84,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
86,Boyolangu,ID,80.44,scattered clouds,-8.1181,111.8935,Yos ega cv
95,Muncar,ID,81.5,clear sky,-8.4333,114.3333,Zaky Homestay
96,Catarman,PH,86.04,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
97,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
101,Ha Tinh,VN,89.51,overcast clouds,18.3333,105.9,Phú Quý
105,Trenggalek,ID,83.05,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
107,Asau,RO,82.96,clear sky,46.4333,26.4,Casa Mika Ciobanus
108,Weligama,LK,81.57,overcast clouds,5.9667,80.4167,Weligama Bay Resort
109,Monywa,MM,84.27,overcast clouds,22.1167,95.1333,Monywa Hotel
112,Majene,ID,84.07,few clouds,-3.5403,118.9707,Kost Putri RABBANI
113,Tabuk,PH,83.59,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
115,Manokwari,ID,80.96,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
