,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Panama City,PA,8.9936,-79.5197,78.06,92,20,2.3,few clouds
1,Hovd,MN,48.0056,91.6419,84.04,14,7,4.7,clear sky
2,Hasaki,JP,35.7333,140.8333,84.29,82,4,17.92,clear sky
3,Bilma,NE,18.6853,12.9164,91.89,37,38,11.68,scattered clouds
4,Greenville,US,35.6127,-77.3663,78.89,90,1,0.0,clear sky
5,Buala,SB,-8.145,159.5921,80.22,81,99,7.14,light rain
6,Puerto Ayora,EC,-0.7393,-90.3518,71.1,87,53,8.86,broken clouds
7,Yellowknife,CA,62.456,-114.3525,53.33,76,93,5.01,overcast clouds
8,Kasempa,ZM,-13.4584,25.8338,64.62,32,100,9.86,overcast clouds
9,Tomigusuku,JP,26.185,127.675,87.93,70,75,12.66,broken clouds
10,Upernavik,GL,72.7868,-56.1549,46.62,81,100,1.63,overcast clouds
11,Chon Daen,TH,16.1895,100.8596,87.33,67,97,7.99,overcast clouds
12,Port Hedland,AU,-20.3167,118.5667,80.65,50,61,20.71,broken clouds
13,Esperance,AU,-33.8667,121.9,59.09,58,49,11.9,scattered clouds
14,Imbituba,BR,-28.24,-48.6703,48.81,70,1,9.35,clear sky
15,Muscat,OM,23.6139,58.5922,100.29,47,76,4.09,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,74.73,82,100,14.47,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,55.11,81,100,6.4,overcast clouds
18,Hobyo,SO,5.3505,48.5268,80.35,68,100,22.93,overcast clouds
19,Saint-Philippe,RE,-21.3585,55.7679,69.22,93,100,16.11,moderate rain
20,Tuktoyaktuk,CA,69.4541,-133.0374,44.38,91,100,10.25,overcast clouds
21,Avarua,CK,-21.2078,-159.775,66.25,94,75,2.3,broken clouds
22,Ribeira Grande,PT,38.5167,-28.7,73.8,73,40,9.22,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,47.48,95,100,2.86,overcast clouds
24,Yar-Sale,RU,66.8333,70.8333,51.15,62,100,12.62,overcast clouds
25,Egvekinot,RU,66.3167,-179.1667,37.89,90,100,13.91,moderate rain
26,Severo-Kurilsk,RU,50.6789,156.125,57.45,93,100,8.57,overcast clouds
27,Vaini,TO,-21.2,-175.2,69.96,78,40,8.05,scattered clouds
28,New Norfolk,AU,-42.7826,147.0587,51.3,46,8,10.58,clear sky
29,Busselton,AU,-33.65,115.3333,60.08,69,52,21.34,broken clouds
30,Dikson,RU,73.5069,80.5464,37.38,98,100,16.4,overcast clouds
31,Lusambo,CD,-4.9667,23.45,86.11,23,14,3.06,few clouds
32,Punta Arenas,CL,-53.15,-70.9167,42.91,93,75,25.32,broken clouds
33,Hithadhoo,MV,-0.6,73.0833,81.41,78,74,10.0,broken clouds
34,Odienne,CI,9.51,-7.5692,70.84,97,100,3.06,overcast clouds
35,Barrow,US,71.2906,-156.7887,37.42,96,90,19.57,fog
